title|releaseyear|duration|rating|genres|language|directors|maincast|plotsummary|imageurl|reviewsone|reviewstwo|reviewsthree|userRating
The Kid|1921|68|4.20 out of 5|Drama, Comedy|No spoken language|Charlie Chaplin|Charlie Chaplin, Jackie Coogan, Edna Purviance, Carl Miller, Albert Austin|A tramp cares for a boy after hes abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.|https://a.ltrbxd.com/resized/sm/upload/mb/3l/9v/gk/the-kid-1200-1200-675-675-crop-000000.jpg?v=2d4d7d100f|"In many ways, perhaps the sweetest film ever made. But The Kid still, like all of Chaplins films, is a very sad one. Theres still barely enough to eat, authorities still antagonize only the proletarian classes, the "proper care and attention" of an orphanage only causes social disruption. Even as charming as the window breaking sequence is, the Tramp and the Kid have to resort to illegal work in order to make enough money to afford to eat. The Welfare Officer refuses to even speak to the Tramp, and speaks to him through a surrogate, in the Tramps own home. The ending is a deus-ex machina; the Tramps look of bewilderment towards the camera as hes put incredulously into a…"|in heaven, all beds are free|do not even think about speaking to me unless you have a head sized hole cut into the middle of your bedspread so that you can stick your head into it and wear it as a poncho.
Sherlock, Jr.|1924|45|4.37 out of 5|Action, Comedy, Mystery|No spoken language|Buster Keaton|Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly, Ward Crane|A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriends fathers pocketwatch.|https://a.ltrbxd.com/resized/sm/upload/5w/bn/ff/yt/sherlock-jr-1200-1200-675-675-crop-000000.jpg?v=a44af93dd3|"Ive never asked myself, "How did they do that?" watching a Michael Bay film. Sherlock, Jr. had me asking that question repeatedly. Its 91 years old."|"I was like "Yeah this is fine I suppose" at first, and then the climax ended up being one of the most insane things Ive ever witnessed. This guys very good at pool!"|tom cruise: did you all know that i do my own stunts?!?! who else can say that?!?! im so GREAT!!!buster keaton in the 20s: hold my beer
The Gold Rush|1925|95|4.14 out of 5|Drama, Adventure, Comedy|No spoken language|Charlie Chaplin|Charlie Chaplin, Georgia Hale, Mack Swain, Tom Murray, Henry Bergman|A lone prospector ventures into Alaska looking for gold. He gets mixed up with some burly characters and falls in love with the beautiful Georgia. He tries to win her heart with his singular charm.|https://a.ltrbxd.com/resized/sm/upload/hw/kv/h0/5u/the-gold-rush-1200-1200-675-675-crop-000000.jpg?v=f2ed19df2b|“I thought you was a chicken” is probably my favorite intertitle ever|After his short films, I have to admit I dont actually find Chaplins movies all that funny. But they are consistently moving, provocative & especially heartbreaking. And if we subtract this movies brilliant coda - this is one of the most heartbreaking movies ever made. One can sense that Chaplin is not a person who understood sarcasm. The Tramp is a dot in the world, almost imperceptible, and saddest of all thinks so much better of the world than it actually is. He has no conception of the casual cruelty of other humans. He dreams, makes plans, all based on an inkling of a hope thats based on a joke anyways. And maybe its these same kind of dreams that which…|Absolutely beautiful. One of the most perfect works of the cinema, in which the desire for gold, the lurch for success, even the hopes and dreams of the future of the average citizen is merely the sometimes (if not often) misguided redirection of the desire just to be loved, appreciated, recognized, accepted. The yearning in this film is unparalleled.
The General|1926|79|4.20 out of 5|Comedy, Action, Adventure, War|No spoken language|Buster Keaton, Clyde Bruckman|Buster Keaton, Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom|During America’s Civil War, Union spies steal engineer Johnnie Grays beloved locomotive, The General—with Johnnies lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.|https://a.ltrbxd.com/resized/sm/upload/ya/53/2y/pd/the-general-1200-1200-675-675-crop-000000.jpg?v=31eb2876f2|Mad Max: Fury Railroad|Im not sure why people scoff at old movies. They are still new to those who have not seen them.|i dont wanna hear jack shit about tom cruises stunts in those mission impossible movies when buster keaton managed to do what he did in a film this romantic and grand that was released almost 100 years ago
Metropolis|1927|149|4.26 out of 5|Drama, Science Fiction|No spoken language|Fritz Lang|Gustav Fröhlich, Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge, Theodor Loos|In a futuristic city sharply divided between the working class and the city planners, the son of the citys mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.|https://a.ltrbxd.com/resized/sm/upload/ad/nn/ty/a4/metropolis-1200-1200-675-675-crop-000000.jpg?v=e09cfd88bb|Reportedly one of Adolf Hitlers favourite films. A part of me thinks he didnt quite get it...|for a silent film, it sure had a lot to say|they hate to see a devilish girlbossified robot winning
The Passion of Joan of Arc|1928|82|4.43 out of 5|History, Drama|No spoken language|Carl Theodor Dreyer|Maria Falconetti, Eugène Silvain, André Berley, Maurice Schutz, Antonin Artaud|A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming shed spoken to God, Jeanne dArc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.|https://a.ltrbxd.com/resized/sm/upload/38/mn/ei/3s/the-passion-of-joan-of-arc-1200-1200-675-675-crop-000000.jpg?v=43190c0854|Robert De Niro sure hasnt aged much since 1928.|Joan watch out the church is about to bring out the burning stake. Oh my God she has airpods in. She cant hear us. Oh my God.|the most hypnotizing eyes to ever be captured on screen
City Lights|1931|87|4.34 out of 5|Drama, Comedy, Romance|No spoken language|Charlie Chaplin|Charlie Chaplin, Virginia Cherrill, Harry Myers, Al Ernest Garcia, Hank Mann|City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl.|https://a.ltrbxd.com/resized/sm/upload/m1/nc/nt/ef/city-lights-1200-1200-675-675-crop-000000.jpg?v=daa3c1419f|A lighthearted comedy about homelessness, suicide, disability, manic depression, substance abuse, handguns, bipolar disorder, drunk driving, robbery, rheumatic fever, and incarceration. Ladies and gentlemen.....the 1930s!|"  "You can see now?"Yes, I can see now."A farcical and romantic vision of a world where appearances, class, and suffering can be overcome by the simplest, clumsiest expressions of kindness... Even if only briefly."|hello 911, a series of black and white moving images made me cry like a baby
M|1931|111|4.32 out of 5|Thriller, Drama, Crime|German|Fritz Lang|Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos|In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckerts heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.|https://a.ltrbxd.com/resized/sm/upload/9a/5m/9d/3r/m-1200-1200-675-675-crop-000000.jpg?v=011a38a68b|man those are some big eyeballs|You can’t watch M and not see dozens of other films standing on its broad shoulders. I shouldn’t have been surprised at its ground breaking visual magnificence, as it was after Lang’s stunning Metropolis, but dolly, crane, and single long shot techniques that I had thought were pioneered much later by the likes of Wells and Hitchcock were demonstrated here in an effortless way that didn’t scream look at me!, but rather enhanced the viewer’s sense of unease and moved the story along smartly. Likewise with sound, in its infancy at the time, Lang contrasts sound and silence in way that puts the audience on edge without relying on a single note of score … except for the haunting whistle.…|  Man murders munchkins. Massive manhunt. Man mutters musical musings. M Marked. Mad mob marauds masonry. Meeting makes man monologue mental meltdown. Mothers mourn.
It Happened One Night|1934|105|4.14 out of 5|Comedy, Romance|English|Frank Capra|Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas|A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.|https://a.ltrbxd.com/resized/sm/upload/kk/g3/ad/re/it%20happened-1200-1200-675-675-crop-000000.jpg?v=32dad83be3|Didnt realize this was going to be the prototype for every romantic comedy ever|can someone explain in a non-annoying way why in 1934 it cost $2.60 to send a telegram but only $2 for a night in a hotel?|every single trope from every fic you’ve ever read on AO3 at 2am was stolen from this movie.
Modern Times|1936|87|4.27 out of 5|Comedy, Drama|English|Charlie Chaplin|Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin|The Tramp struggles to live in modern industrial society with the help of a young homeless woman.|https://a.ltrbxd.com/resized/sm/upload/ty/by/sd/6k/modern-times-1200-1200-675-675-crop-000000.jpg?v=32ff2cb92c|EASILY my favorite from Chaplin. Cant tell you how good it feels to genuinely love one of his films rather than just appreciate it. Everything about this is great.|I love animated films, and there is absolutely nothing wrong with them, but I remember when my daughter exclusively watched only that genre at a very young age and I was thinking to myself, at what point can I show her more? When will she be ready to explore cinema beyond talking animals and snappy songs?While she has been beyond that point for a while now, something happened the other day while watching the Charlie Chaplin masterpiece Modern Times that I was not anticipating. There I am, lying on the couch mesmerized by the film when I realized I wasnt alone. Not in the literal sense, I knew the soon to be seven year old was sitting across the…|Even though its not a completely silent movie, it sure proves dialogue is sometimes completely unnecessary.Sheer genius.
